l1_name,brand_a,brand_b,distance,similarity,oh_a,oh_b,lwu_a,lwu_b,price_a,price_b
3110-MISSES SPORTSWEAR,BADGLEY MISCHKA,HARPER 241,0.0033,0.9968,78,76,1,1,14.99,14.99
3115-MISSES BETTER SPORTSWEAR,VINTAGE HAVANA,WORKSHOP,0.017,0.9833,37,45,1,1,16.99,16.99
3110-MISSES SPORTSWEAR,KINGS ROAD,UNIQUE SPECTRUM,0.0193,0.9811,39,50,90,100,14.43,14.43
3125-PETITES SPORTSWEAR,ADRIENNE VITTADINI,CASEY KEY,0.0199,0.9805,28,28,100,98,12.39,12.34
3150-LINGERIE,BLISS,POPPY __IA_CHAR_13 CLAY,0.024,0.9766,60,54,1,1,24.99,24.99
3200-BEAUTY,FREIDA __IA_CHAR_20 JOE,LA L__IA_CHAR_01AMOUR,0.0264,0.9743,72,75,102,99,14.82,14.87
3145-SWIM,SHOW ME YOUR MUMU,STELLA PARKER,0.038,0.9634,59,60,4,7,28.93,28.74
3110-MISSES SPORTSWEAR,REMI JAMES,TEEZ-HER,0.0413,0.9603,61,77,134,158,12.46,12.53
3165-HANDBAGS,AMERICAN LEATHER CO,THE SAK,0.0436,0.9582,107,102,4,8,68.64,68.97
3200-BEAUTY,CARIBBEAN JOE,COSRX,0.0467,0.9554,78,73,21,29,12.21,12.1
3200-BEAUTY,CHLOE,MOSCHINO,0.0487,0.9536,31,36,19,8,48.51,48.52
3115-MISSES BETTER SPORTSWEAR,KENSIE,SOLITAIRE,0.0488,0.9535,243,241,54,47,21.35,21.14
3430-CHILDRENS ACCESS,MARIO BROTHERS,PUMA,0.0507,0.9517,46,36,332,313,8.85,8.74
3115-MISSES BETTER SPORTSWEAR,PARKER,RAGA,0.0515,0.951,31,42,33,27,19.36,19.57
3140-LADIES SPORTS,COURT HALEY,UNDER ARMOUR,0.052,0.9506,249,262,10,36,18.97,18.95
3315-YOUNGMENS,AEROPOSTALE,ECKO,0.0537,0.9491,90,71,729,734,14.34,14.17
3200-BEAUTY,LIFESTYLE,SCENTUALS,0.0555,0.9474,97,98,54,30,9.59,9.6
3115-MISSES BETTER SPORTSWEAR,FOR THE REPUBLIC,TOMMY HILFIGER,0.0563,0.9467,65,67,19,12,14.46,14.2
3110-MISSES SPORTSWEAR,CURVE APPEAL,GREIGE,0.0564,0.9466,64,30,10,3,15.83,15.81
3200-BEAUTY,IT HAIR CARE,NICKA K,0.0568,0.9462,29,32,75,72,5.65,6.18
3110-MISSES SPORTSWEAR,REMI JAMES,RIO AND REIN,0.0588,0.9445,61,48,134,74,12.46,12.54
3115-MISSES BETTER SPORTSWEAR,TOMMY HILFIGER,Z SUPPLY,0.0604,0.943,67,44,12,1,14.2,14.25
3110-MISSES SPORTSWEAR,KINGS ROAD,RAIN __IA_CHAR_13 ROSE,0.0649,0.939,39,56,90,13,14.43,14.48
3200-BEAUTY,GEMBELLA,JAPONESQUE,0.0652,0.9388,48,49,28,54,4.48,4.22
3200-BEAUTY,CARIBBEAN JOE,DUDE WIPES,0.0658,0.9383,78,78,21,2,12.21,11.69
3110-MISSES SPORTSWEAR,RAIN __IA_CHAR_13 ROSE,UNIQUE SPECTRUM,0.066,0.9381,56,50,13,100,14.48,14.43
3110-MISSES SPORTSWEAR,KAY UNGER,RIO AND REIN,0.068,0.9363,11,48,106,74,12.6,12.54
3615-DOMESTICS,AURA,LILLIAN AUGUST,0.0688,0.9356,153,158,22,36,14.79,14.65
3200-BEAUTY,NUVO MED,SEXY,0.07,0.9346,113,115,90,61,15.29,15.14
3200-BEAUTY,COSRX,KIEHL__IA_CHAR_01S,0.0718,0.933,73,68,29,43,12.1,12.62
3200-BEAUTY,BETSEY JOHNSON,NAKERY BEAUTY,0.0721,0.9327,34,27,25,42,7.9,7.72
3165-HANDBAGS,BUENO,SUN N__IA_CHAR_01 SAND,0.0743,0.9309,303,311,236,229,18.54,19.16
3110-MISSES SPORTSWEAR,KAKTUS,THOMAS __IA_CHAR_13 OLIVIA,0.0745,0.9306,87,44,87,90,11.88,11.82
3120-PLUS SPORTSWEAR,LOVE POTION,SJS,0.0756,0.9297,85,104,912,903,11.88,12.06
3110-MISSES SPORTSWEAR,RIO AND REIN,TEEZ-HER,0.0768,0.9287,48,77,74,158,12.54,12.53
3145-SWIM,AMERICA AND BEYOND,SOUTHERN TIDE,0.0768,0.9287,179,187,9,20,28.5,28.52
3200-BEAUTY,BAYLIS __IA_CHAR_13 HARDING,LOVE BEAUTY,0.0793,0.9265,35,27,81,63,4.74,4.61
3200-BEAUTY,MANTHM,NAKERY BEAUTY,0.0795,0.9264,29,27,65,42,7.11,7.72
3200-BEAUTY,BONDI SANDS,SAVON DE ROYAL,0.0805,0.9255,92,90,118,107,9.11,8.32
3115-MISSES BETTER SPORTSWEAR,BEACH LUNCH LOUNGE,RACHEL ROY,0.0806,0.9254,54,26,134,145,17.75,17.54
3620-HOUSEWARES,JOBAR,MARTHA STEWART EVERYDAY,0.0808,0.9252,27,34,56,64,7.65,7.17
3200-BEAUTY,HOT TOOLS,L__IA_CHAR_01OCCITANE,0.081,0.9251,41,38,11,3,24.78,23.99
3200-BEAUTY,BETSEY JOHNSON,PIXI,0.0827,0.9236,34,30,25,5,7.9,7.26
3115-MISSES BETTER SPORTSWEAR,FOR THE REPUBLIC,Z SUPPLY,0.0828,0.9235,65,44,19,1,14.46,14.25
3165-HANDBAGS,BOC,VERA BRADLEY,0.0831,0.9233,89,92,2,15,20.49,21.39
3430-CHILDRENS ACCESS,MINECRAFT,RAMPAGE,0.0832,0.9232,49,30,71,44,9.64,9.52
3200-BEAUTY,NATURE SPELL,OPI,0.0834,0.923,30,40,139,139,6.6,6.65
3110-MISSES SPORTSWEAR,COCOMO,REMI JAMES,0.0835,0.923,80,61,57,134,12.33,12.46
3725-TOYS,AQUA STORM,STITCH,0.0839,0.9226,26,29,151,146,6.03,5.68
3200-BEAUTY,COSRX,DUDE WIPES,0.084,0.9225,73,78,29,2,12.1,11.69
3200-BEAUTY,AEROSOLES,CREME SHOP,0.0842,0.9223,67,66,83,116,5.61,5.23
3165-HANDBAGS,ALESSIA,SOL AND MER,0.0849,0.9218,76,79,43,33,28.96,27.94
3110-MISSES SPORTSWEAR,CABLE __IA_CHAR_13 GAUGE,KAKTUS,0.0851,0.9216,62,87,2,87,11.99,11.88
3610-HOME DECOR,DECO MARCHE,PORT TO PORT,0.086,0.9208,48,38,6,10,18.55,18.11
3200-BEAUTY,LUSETA,RIVER __IA_CHAR_20 ROWE,0.0902,0.9173,18,9,106,89,6.33,6.66
3110-MISSES SPORTSWEAR,CABLE __IA_CHAR_13 GAUGE,MARISSA OLIVIA,0.0911,0.9165,62,6,2,2,11.99,11.99
3115-MISSES BETTER SPORTSWEAR,SALTWATER LUXE,WORKSHOP,0.0916,0.9161,80,45,17,1,16.89,16.99
3200-BEAUTY,IMOSHION,OLE HENRIKSEN,0.0919,0.9158,41,32,52,34,9.46,9.81
3200-BEAUTY,MANTHM,NICKA K,0.0934,0.9146,29,32,65,72,7.11,6.18
3165-HANDBAGS,BOC,SAKROOTS,0.0938,0.9143,89,97,2,7,20.49,19.45
3620-HOUSEWARES,BROOKSTONE,NICOLE MILLER,0.0943,0.9138,26,25,11,21,5.93,5.15
3140-LADIES SPORTS,BRISAS,SALT LIFE,0.0947,0.9135,424,451,1,5,18.99,19.33
3530-CHILDRENS FOOTWEAR,RBX,SPIDERMAN,0.0953,0.913,29,34,535,528,17.49,17.04
3200-BEAUTY,LA L__IA_CHAR_01AMOUR,PARIS HILTON,0.0959,0.9125,75,84,99,80,14.87,15.3
3325-MENS OUTDOOR,HOOEY,LEE,0.0968,0.9117,93,215,54,34,14.51,14.57
3200-BEAUTY,RBX,WICKED,0.0973,0.9113,42,46,103,69,8.23,7.72
3110-MISSES SPORTSWEAR,CABLE __IA_CHAR_13 GAUGE,THOMAS __IA_CHAR_13 OLIVIA,0.0979,0.9108,62,44,2,90,11.99,11.82
3325-MENS OUTDOOR,TRUE TIMBER,WINCHESTER,0.0983,0.9105,26,14,62,49,11.51,11.77
3200-BEAUTY,NAKERY BEAUTY,PIXI,0.0983,0.9105,27,30,42,5,7.72,7.26
3200-BEAUTY,GEMBELLA,PACIFICA,0.0986,0.9103,48,56,28,19,4.48,5.22
3200-BEAUTY,LOMI,SIMPLY SOUTHERN,0.0998,0.9093,127,128,148,150,5.45,6.49
3110-MISSES SPORTSWEAR,KAY UNGER,REMI JAMES,0.1007,0.9085,11,61,106,134,12.6,12.46
3200-BEAUTY,BAYLIS __IA_CHAR_13 HARDING,IT HAIR CARE,0.1008,0.9084,35,29,81,75,4.74,5.65
3150-LINGERIE,FLORA,SKINNY GIRL,0.1016,0.9078,54,60,403,451,14.08,13.77
3615-DOMESTICS,BETSEY JOHNSON,LUCKY BRAND,0.1018,0.9076,40,55,6,11,12.38,11.8
3200-BEAUTY,URBAN EXPRESSIONS,URBAN HOME,0.1026,0.907,14,12,9,1,8.99,7.94
3110-MISSES SPORTSWEAR,COCOMO,RIO AND REIN,0.1035,0.9062,80,48,57,74,12.33,12.54
3200-BEAUTY,IT HAIR CARE,LOVE BEAUTY,0.1039,0.9059,29,27,75,63,5.65,4.61
3325-MENS OUTDOOR,HEYBO,REALTREE,0.1045,0.9054,382,298,28,16,12.42,12.67
3200-BEAUTY,CARIBBEAN JOE,KIEHL__IA_CHAR_01S,0.1046,0.9053,78,68,21,43,12.21,12.62
3130-JUNIORS,JUICY COUTURE,REBELLION,0.1048,0.9051,237,260,41,72,19.3,19.06
3430-CHILDRENS ACCESS,SPIDERMAN,TAHARI,0.1056,0.9045,133,129,280,351,7.48,7.76
