l1_name,brand_a,brand_b,distance,similarity,oh_a,oh_b,lwu_a,lwu_b,price_a,price_b
3165-HANDBAGS,FOUR SEASONS,SUN N SPORT,0.0,1.0,13,13,0,0,,
3420-BABY,MUD PIE,PEARHEAD,0.0,1.0,14,14,0,0,,
3340-MENS FURN-ACC,NICK GRAHAM,WRANGLER,0.0,1.0,50,50,0,0,,
3615-DOMESTICS,FRENCH CONNECTION,PAPYRUS,0.0,1.0,64,64,0,0,,
3620-HOUSEWARES,BRIGHTEN THE SEASON,RAE DUNN,0.0,1.0,36,36,0,0,,
3340-MENS FURN-ACC,FLOGROWN,GUY HARVEY,0.0,1.0,55,55,0,0,,
3620-HOUSEWARES,ADIDAS,FELLI,0.0,1.0,36,36,0,0,,
3620-HOUSEWARES,LAGUIOLE,S3 DESIGN GROUP,0.0,1.0,48,48,0,0,,
3620-HOUSEWARES,BRIGHTEN THE SEASON,FELLI,0.0,1.0,36,36,0,0,,
3610-HOME DECOR,COASTAL,GALT INTERNATIONAL,0.0,1.0,28,28,0,0,,
3165-HANDBAGS,O__IA_CHAR_01NEILL,TRUE RELIGION,0.0,1.0,9,9,0,0,,
3160-ACCESSORIES,MADD HATTER,SIGNATURE,0.0,1.0,12,12,0,0,,
3625-STORAGE-HOME MAINTENANCE,DESIGNSTYLES,KENNEDY INTERNATIONAL,0.0,1.0,52,52,0,0,,
3160-ACCESSORIES,ATHRA,SUN DAY AFTERNOONS,0.0,1.0,63,63,0,0,,
3620-HOUSEWARES,FELLI,RAE DUNN,0.0,1.0,36,36,0,0,,
3160-ACCESSORIES,FRYE,OCEAN TREASURES,0.0,1.0,45,45,0,0,,
3150-LINGERIE,ARIA,BROOKS,0.0,1.0,30,30,0,0,,
3160-ACCESSORIES,AMERICA 250,DIFF,0.0,1.0,24,24,0,0,,
3150-LINGERIE,MAIDENFORM,RACHEL ROY,0.0,1.0,38,38,0,0,,
3160-ACCESSORIES,CTR,JUILLIET,0.0,1.0,132,132,0,0,,
3620-HOUSEWARES,ADIDAS,BRIGHTEN THE SEASON,0.0,1.0,36,36,0,0,,
3160-ACCESSORIES,NES GROUP,NICOLA,0.0,1.0,21,21,0,0,,
3135-DRESSES,ELIZA J,LOLA P,0.0,1.0,64,64,0,0,,
3165-HANDBAGS,LUCKY BRAND,REBECCA MINKOFF,0.0,1.0,15,15,0,0,,
3120-PLUS SPORTSWEAR,STATUS BY CHENAULT,TAHARI,0.0,1.0,84,84,0,0,,
3200-BEAUTY,BLOSSOM,FRANK BODY,0.0,1.0,48,48,0,0,,
3160-ACCESSORIES,MINNIE MOUSE,STITCH,0.0,1.0,15,15,0,0,,
3200-BEAUTY,BARE MINERALS,SUNDAY RAIN,0.0,1.0,33,33,0,0,,
3160-ACCESSORIES,BELLA UNO,FRYE __IA_CHAR_13 CO,0.0,1.0,11,11,0,0,,
3720-HARDLINES,ELLEN TRACY,GEORGIA BULLDOGS,0.0,1.0,46,46,0,0,,
3200-BEAUTY,OLLY,SPONGELLE,0.0,1.0,56,56,0,0,,
3200-BEAUTY,CORTEX,VINCE CAMUTO,0.0,1.0,20,20,0,0,,
3615-DOMESTICS,DEVGIRI,JONES NEW YORK,0.0,1.0,41,41,0,0,,
3740-PET,BLISS,MEOW __IA_CHAR_13 ROLL,0.0,1.0,26,26,0,0,,
3620-HOUSEWARES,FANCY THAT,SIMPLY SOUTHERN,0.0,1.0,44,44,0,0,,
3740-PET,PATCHWORK PET,TAHARI,0.0,1.0,66,66,0,0,,
3420-BABY,BLUEY,CALVIN KLEIN,0.0,1.0,30,30,0,0,,
3615-DOMESTICS,IZOD,MADISON,0.0,1.0,97,97,0,0,,
3615-DOMESTICS,AVA,KITCHEN AID,0.0,1.0,56,56,0,0,,
3420-BABY,DISNEY PRINCESS,NICOLE MILLER,0.0,1.0,18,18,0,0,,
3165-HANDBAGS,ADIDAS,PATRICIA NASH DESIGNS,0.0,1.0,23,23,0,0,,
3165-HANDBAGS,ANNE KLEIN,BCBG,0.0,1.0,12,12,0,0,,
3620-HOUSEWARES,ADIDAS,RAE DUNN,0.0,1.0,36,36,0,0,,
3165-HANDBAGS,JOAN __IA_CHAR_20 DAVID,LUCKY BRAND,0.0,1.0,15,15,0,0,,
3165-HANDBAGS,JOAN __IA_CHAR_20 DAVID,REBECCA MINKOFF,0.0,1.0,15,15,0,0,,
3615-DOMESTICS,HUNTER,YOGI INTERNATIONAL,0.0,1.0,222,222,0,0,,
3115-MISSES BETTER SPORTSWEAR,DEAR JOHN DENIM,LIVERPOOL,0.0024,0.9976,11,12,0,0,,
3115-MISSES BETTER SPORTSWEAR,ABS BY ALLEN SCHWARTZ,HUNTER,0.0024,0.9976,47,48,0,0,,
3315-YOUNGMENS,BURNSIDE,FLOMOTION,0.0025,0.9975,218,216,0,0,,
3125-PETITES SPORTSWEAR,CARMEN MARC VALVO,CHENAULT,0.0026,0.9974,36,37,0,0,,
3510-LADIES FOOTWEAR,KEEN,PLAKTON,0.003,0.997,91,92,0,0,,
3140-LADIES SPORTS,GOLFTINI,JUICY COUTURE,0.0031,0.9969,26,25,0,0,,
3330-MENS ACTIVE-SWIM,RIP CURL,SOUTHERN TIDE,0.0032,0.9968,99,100,0,0,,
3330-MENS ACTIVE-SWIM,MOTION,NIKE,0.0032,0.9968,62,63,0,0,,
3110-MISSES SPORTSWEAR,BLUE SOL,NY COLLECTION,0.0035,0.9965,67,69,0,0,,
3110-MISSES SPORTSWEAR,BADGLEY MISCHKA,HARPER 241,0.0035,0.9965,78,76,1,1,14.99,14.99
3110-MISSES SPORTSWEAR,CRISTINA VERGANI,FLORAL __IA_CHAR_13 IVY,0.0035,0.9965,147,149,0,0,,
3130-JUNIORS,BRIXTON,GOOD LUCK GEM,0.0037,0.9963,20,19,0,0,,
3130-JUNIORS,OCEAN DRIVE,RIP CURL,0.0037,0.9963,157,156,0,0,,
3130-JUNIORS,HYFVE,J.O.A,0.0037,0.9963,57,58,0,0,,
3135-DRESSES,ANA CLARE,LOLA P,0.004,0.996,65,64,0,0,,
3135-DRESSES,ANA CLARE,ELIZA J,0.004,0.996,65,64,0,0,,
3135-DRESSES,KINGS ROAD,TRINA TURK,0.004,0.996,30,31,0,0,,
3150-LINGERIE,ADIDAS,COMO,0.0044,0.9956,54,53,0,0,,
3150-LINGERIE,ADIDAS,CUDDL DUDS,0.0044,0.9956,54,55,0,0,,
3150-LINGERIE,RACHEL ROY,SOPHIE B,0.0044,0.9956,38,39,0,0,,
3150-LINGERIE,CLARKS,COMO,0.0044,0.9956,52,53,0,0,,
3150-LINGERIE,MAIDENFORM,SOPHIE B,0.0044,0.9956,38,39,0,0,,
3115-MISSES BETTER SPORTSWEAR,HABITUAL,KATE SPADE,0.0048,0.9952,112,114,0,0,,
3115-MISSES BETTER SPORTSWEAR,ABS BY ALLEN SCHWARTZ,CATHERINE MALANDRINO,0.0048,0.9952,47,45,0,0,,
3145-SWIM,ROBBY LEN,S3,0.005,0.995,66,65,0,0,,
3125-PETITES SPORTSWEAR,ALFRED DUNNER,DEMOCRACY,0.0053,0.9948,275,277,0,0,,
3110-MISSES SPORTSWEAR,BLUE SOL,RABBIT RABBIT,0.0053,0.9948,67,64,0,0,,
3615-DOMESTICS,BROOKS BROTHERS,HOTEL COLLECTION,0.0058,0.9942,20,19,0,0,,
3615-DOMESTICS,BCBG,BETTER TRENDS,0.0058,0.9942,48,47,0,0,,
3615-DOMESTICS,DWELL STUDIO,LOTTIE FINCH,0.0058,0.9942,44,43,0,0,,
3615-DOMESTICS,MAGASCHONI,SHEFFIELD HOME,0.0058,0.9942,80,81,0,0,,
3615-DOMESTICS,BOMBAY,ENCHANTE,0.0058,0.9942,116,117,0,0,,
3615-DOMESTICS,ARTISAN 34,AVA,0.0058,0.9942,55,56,0,0,,
3615-DOMESTICS,BETTER TRENDS,TOMMY HILFIGER,0.0058,0.9942,47,46,0,0,,
3615-DOMESTICS,ARTISAN 34,KITCHEN AID,0.0058,0.9942,55,56,0,0,,
3615-DOMESTICS,DAINTY HOME,WATERFRONT,0.0058,0.9942,31,30,0,0,,
3615-DOMESTICS,ALLEREASE,MDESIGN,0.0058,0.9942,34,33,0,0,,
3615-DOMESTICS,APACHE MILLS,BCBG,0.0058,0.9942,49,48,0,0,,
3120-PLUS SPORTSWEAR,HEARTS OF PALM,ONE WORLD,0.0058,0.9942,144,142,0,0,,
3510-LADIES FOOTWEAR,ANNE KLEIN,PROJECT CLOUD,0.0061,0.994,354,356,0,0,,
3510-LADIES FOOTWEAR,KENNETH COLE REACTION,OOFOS,0.0061,0.994,97,99,0,0,,
3510-LADIES FOOTWEAR,BCBGENERATION,PATRIZIA,0.0061,0.994,179,181,0,0,,
3540-ATHLETIC FOOTWEAR,K SWISS,VIONIC,0.0061,0.9939,143,149,0,0,,
3315-YOUNGMENS,OCEAN CURRENT,O__IA_CHAR_01NEILL,0.0063,0.9938,101,106,0,0,,
3325-MENS OUTDOOR,COLEMAN,COLUMBIA,0.0063,0.9937,70,80,0,0,,
3620-HOUSEWARES,BOSTON INTERNATIONAL,BOSTON WAREHOUSE,0.0064,0.9937,25,26,0,0,,
3620-HOUSEWARES,KITCHENAID,NORDIC WARE,0.0064,0.9937,12,13,0,0,,
3620-HOUSEWARES,LAGUIOLE,VERA BRADLEY,0.0064,0.9937,48,49,0,0,,
3620-HOUSEWARES,S3 DESIGN GROUP,VERA BRADLEY,0.0064,0.9937,48,49,0,0,,
3620-HOUSEWARES,RCR,TOWLE,0.0064,0.9937,34,33,0,0,,
3620-HOUSEWARES,MAISON ROUGE,PRODYNE,0.0064,0.9937,107,106,0,0,,
3620-HOUSEWARES,HOMESTEAD,SILVER ONE,0.0064,0.9937,74,73,0,0,,
3620-HOUSEWARES,METEOR,SIMPLY SOUTHERN,0.0064,0.9937,45,44,0,0,,
3620-HOUSEWARES,FANCY THAT,METEOR,0.0064,0.9937,44,45,0,0,,
3620-HOUSEWARES,GODINGER,ZEST KITCHEN __IA_CHAR_20 HOME,0.0064,0.9937,155,156,0,0,,
3415-BOYS APPAREL,GUY HARVEY,SOUTHERN TIDE,0.0065,0.9936,81,82,0,0,,
3110-MISSES SPORTSWEAR,NY COLLECTION,SECONDARY,0.007,0.993,69,73,0,0,,
3110-MISSES SPORTSWEAR,ONE WORLD,SENSEA,0.007,0.993,41,45,0,0,,
3115-MISSES BETTER SPORTSWEAR,FREE PEOPLE,LIVERPOOL,0.0072,0.9929,15,12,0,0,,
3115-MISSES BETTER SPORTSWEAR,CATHERINE MALANDRINO,HUNTER,0.0072,0.9929,45,48,0,0,,
3115-MISSES BETTER SPORTSWEAR,7 FOR ALL MANKIND,GRACE,0.0072,0.9929,92,89,0,0,,
3115-MISSES BETTER SPORTSWEAR,BAGATELLE,BILA 77,0.0072,0.9929,131,134,0,0,,
3115-MISSES BETTER SPORTSWEAR,KATE SPADE,NYDJ,0.0072,0.9929,114,117,0,0,,
3130-JUNIORS,PEANUTS,SUNKISSED DENIM,0.0074,0.9926,64,62,0,0,,
3130-JUNIORS,BLU PEPPER,CALI 1850,0.0074,0.9926,122,120,0,0,,
3420-BABY,CALVIN KLEIN,DISNEY,0.0076,0.9925,30,31,0,0,,
3420-BABY,ELEGANT BABY,ITZY RITZY,0.0076,0.9925,33,34,0,0,,
3420-BABY,MICK MACK,NICOLE MILLER,0.0076,0.9925,19,18,0,0,,
3420-BABY,EBBA,SNUG,0.0076,0.9925,21,22,0,0,,
3420-BABY,DISNEY PRINCESS,MICK MACK,0.0076,0.9925,18,19,0,0,,
3420-BABY,BLUEY,DISNEY,0.0076,0.9925,30,31,0,0,,
3165-HANDBAGS,BCBG,FOUR SEASONS,0.0078,0.9923,12,13,0,0,,
3165-HANDBAGS,GUY HARVEY,TRUE RELIGION,0.0078,0.9923,10,9,0,0,,
3165-HANDBAGS,BCBG,SUN N SPORT,0.0078,0.9923,12,13,0,0,,
3165-HANDBAGS,DV BY DOLCE VITA,VINCE CAMUTO,0.0078,0.9923,21,20,0,0,,
3165-HANDBAGS,ANNE KLEIN,SUN N SPORT,0.0078,0.9923,12,13,0,0,,
3165-HANDBAGS,GUY HARVEY,O__IA_CHAR_01NEILL,0.0078,0.9923,10,9,0,0,,
3165-HANDBAGS,DOLCE VITA,VERSACE,0.0078,0.9923,5,6,0,0,,
3165-HANDBAGS,ANNE KLEIN,FOUR SEASONS,0.0078,0.9923,12,13,0,0,,
3165-HANDBAGS,SHIRALEAH,TOMMY BAHAMA,0.0078,0.9923,43,42,0,0,,
3165-HANDBAGS,LUCKY,TRUE RELIGION,0.0078,0.9923,8,9,0,0,,
3165-HANDBAGS,LUCKY,O__IA_CHAR_01NEILL,0.0078,0.9923,8,9,0,0,,
3720-HARDLINES,MIAMI DOLPHINS,MIAMI HURRICANES,0.008,0.9921,55,56,0,0,,
3135-DRESSES,CONNECTED APPAREL,ELAN,0.008,0.992,56,54,0,0,,
3135-DRESSES,ANA CLARE,RAGA,0.008,0.992,65,67,0,0,,
3610-HOME DECOR,BOSTON INTERNATIONAL,LUMINARA,0.0081,0.9919,56,55,0,0,,
3610-HOME DECOR,BOSTON INTERNATIONAL,WILLOWBROOK,0.0081,0.9919,56,57,0,0,,
3610-HOME DECOR,GALT INTERNATIONAL,ILLUME HOLDING COMPANY,0.0081,0.9919,28,27,0,0,,
3610-HOME DECOR,COASTAL,ILLUME HOLDING COMPANY,0.0081,0.9919,28,27,0,0,,
3200-BEAUTY,AROMASOLES,POOLBAR,0.0087,0.9914,45,46,0,0,,
3200-BEAUTY,ELEMIS,FIRST AID BEAUTY,0.0087,0.9914,31,30,0,0,,
3200-BEAUTY,TARTE,VACATION,0.0087,0.9914,7,8,0,0,,
3150-LINGERIE,COMO,CUDDL DUDS,0.0088,0.9913,53,55,0,0,,
3150-LINGERIE,ASICS,RACHEL ROY,0.0088,0.9913,36,38,0,0,,
3150-LINGERIE,ASICS,MAIDENFORM,0.0088,0.9913,36,38,0,0,,
3150-LINGERIE,MUK LUKS,SOPHIA,0.0088,0.9913,106,104,0,0,,
3150-LINGERIE,ADIDAS,CLARKS,0.0088,0.9913,54,52,0,0,,
3110-MISSES SPORTSWEAR,NY COLLECTION,RABBIT RABBIT,0.0088,0.9913,69,64,0,0,,
3510-LADIES FOOTWEAR,DONALD PLINER,L__IA_CHAR_01ARTISTE,0.0091,0.991,70,73,0,0,,
3140-LADIES SPORTS,90 DEGREE BY REFLEX,KYODAN,0.0092,0.9908,117,120,0,0,,
3140-LADIES SPORTS,ANA CLARE,PGA,0.0092,0.9908,171,168,0,0,,
3140-LADIES SPORTS,GUY HARVEY,LIV,0.0092,0.9908,194,191,0,0,,
3115-MISSES BETTER SPORTSWEAR,DEAR JOHN DENIM,FREE PEOPLE,0.0096,0.9905,11,15,0,0,,
3115-MISSES BETTER SPORTSWEAR,CHAUS,ISAAC MIZRAHI,0.0096,0.9905,24,20,0,0,,
3115-MISSES BETTER SPORTSWEAR,JOHNNY WAS,PREMISE,0.0096,0.9905,32,36,0,0,,
3725-TOYS,HELLO KITTY,NEW ADVENTURES,0.0096,0.9904,53,54,0,0,,
3145-SWIM,INTO THE BLEU,MIMI FLAMINGO,0.01,0.9901,123,121,0,0,,
3145-SWIM,ROBBY LEN,TRINA TURK,0.01,0.9901,66,68,0,0,,
3540-ATHLETIC FOOTWEAR,SAUCONY,VIONIC,0.0102,0.9899,159,149,0,0,,
3125-PETITES SPORTSWEAR,KISS __IA_CHAR_13 FLY,US VINTAGE,0.0105,0.9896,28,24,0,0,,
3125-PETITES SPORTSWEAR,CARMEN MARC VALVO,NY COLLECTION,0.0105,0.9896,36,32,0,0,,
3125-PETITES SPORTSWEAR,FARMERS MARKET,RUBY ROAD,0.0105,0.9896,42,46,0,0,,
3125-PETITES SPORTSWEAR,KISS __IA_CHAR_13 FLY,NY COLLECTION,0.0105,0.9896,28,32,0,0,,
3110-MISSES SPORTSWEAR,BLUE SOL,SECONDARY,0.0105,0.9896,67,73,0,0,,
3130-JUNIORS,FLOGROWN,HYFVE,0.0112,0.989,54,57,0,0,,
3325-MENS OUTDOOR,KRYPTEK,LOCO SKAILZ,0.0114,0.9888,168,150,0,0,,
3615-DOMESTICS,ALLEREASE,HOME FASHION,0.0116,0.9886,34,36,0,0,,
3615-DOMESTICS,DWELL STUDIO,TOMMY HILFIGER,0.0116,0.9886,44,46,0,0,,
3615-DOMESTICS,DAINTY HOME,MDESIGN,0.0116,0.9886,31,33,0,0,,
3615-DOMESTICS,APACHE MILLS,BETTER TRENDS,0.0116,0.9886,49,47,0,0,,
3615-DOMESTICS,CALVIN KLEIN,SHEFFIELD HOME,0.0116,0.9886,83,81,0,0,,
3615-DOMESTICS,ELLE HOME,KAY DEE DESIGNS,0.0116,0.9886,67,69,0,0,,
3615-DOMESTICS,SMALL WORLD HOME,WATERFRONT,0.0116,0.9886,28,30,0,0,,
3615-DOMESTICS,BCBG,TOMMY HILFIGER,0.0116,0.9886,48,46,0,0,,
3615-DOMESTICS,COASTAL HOME,NOURISON,0.0116,0.9886,140,142,0,0,,
3615-DOMESTICS,BOMBAY,FIESTA,0.0116,0.9886,116,114,0,0,,
3615-DOMESTICS,MILLIHOME,RACHEL ASHWELL,0.0116,0.9886,74,72,0,0,,
3615-DOMESTICS,CLASSIC TURKISH TOWELS,HOTEL COLLECTION,0.0116,0.9886,17,19,0,0,,
3615-DOMESTICS,JONES NEW YORK,LOTTIE FINCH,0.0116,0.9886,41,43,0,0,,
3615-DOMESTICS,DEVGIRI,LOTTIE FINCH,0.0116,0.9886,41,43,0,0,,
3120-PLUS SPORTSWEAR,LIV LOS ANGELES,VINCE CAMUTO,0.0117,0.9884,32,36,0,0,,
3115-MISSES BETTER SPORTSWEAR,HABITUAL,NYDJ,0.0119,0.9882,112,117,0,0,,
3115-MISSES BETTER SPORTSWEAR,FREE PEOPLE,ISAAC MIZRAHI,0.0119,0.9882,15,20,0,0,,
3135-DRESSES,ELIZA J,RAGA,0.012,0.9881,64,67,0,0,,
3135-DRESSES,LOLA P,RAGA,0.012,0.9881,64,67,0,0,,
3510-LADIES FOOTWEAR,JONES NEW YORK,KENNETH COLE,0.0122,0.988,81,85,0,0,,
3110-MISSES SPORTSWEAR,1822,STATUS BY CHENAULT,0.0123,0.9878,355,348,0,0,,
3140-LADIES SPORTS,ANA CLARE,JOCKEY,0.0123,0.9878,171,175,0,0,,
3140-LADIES SPORTS,90 DEGREE BY REFLEX,CALLAWAY,0.0123,0.9878,117,113,0,0,,
3430-CHILDRENS ACCESS,SLEEP ON IT,TAHARI GIRLS,0.0124,0.9878,15,12,0,0,,
3340-MENS FURN-ACC,SOUTHERN TIDE,UNDER ARMOUR,0.0126,0.9875,81,83,0,0,,
3340-MENS FURN-ACC,COLUMBIA,SAUCONY,0.0126,0.9875,32,30,0,0,,
3340-MENS FURN-ACC,ED HARDY,WRANGLER,0.0126,0.9875,48,50,0,0,,
3340-MENS FURN-ACC,ED HARDY,NICK GRAHAM,0.0126,0.9875,48,50,0,0,,
3340-MENS FURN-ACC,ROBERT GRAHAM,SAUCONY,0.0126,0.9875,28,30,0,0,,
3340-MENS FURN-ACC,CALLAWAY,PGA TOUR,0.0126,0.9875,215,213,0,0,,
3160-ACCESSORIES,BELLA UNO,SIGNATURE,0.0127,0.9875,11,12,0,0,,
3160-ACCESSORIES,ADIDAS,AMERICA 250,0.0127,0.9875,25,24,0,0,,
3160-ACCESSORIES,DRIZZLY DAZE,STITCH,0.0127,0.9875,14,15,0,0,,
3160-ACCESSORIES,ADIDAS,DIFF,0.0127,0.9875,25,24,0,0,,
3160-ACCESSORIES,BLACK DIAMOND,NES GROUP,0.0127,0.9875,20,21,0,0,,
3160-ACCESSORIES,MINNIE MOUSE,SUGAR,0.0127,0.9875,15,16,0,0,,
3160-ACCESSORIES,BELLA UNO,MADD HATTER,0.0127,0.9875,11,12,0,0,,
3160-ACCESSORIES,FRYE __IA_CHAR_13 CO,SIGNATURE,0.0127,0.9875,11,12,0,0,,
