l1_name,l2_name,brand,channel,articles,total_oh,total_oo,total_it,avg_price,stockouts,overstock
3325-MENS OUTDOOR,3325_3699-MENS BETTER FISHING TOPS,REEL LEGENDS,"[""bls""]",215,5659,0,0,24.45,0,167
3540-ATHLETIC FOOTWEAR,3540_3536-BFL LADIES ATHLETIC,SKECHERS,"[""bls""]",105,2109,0,0,55.54,0,79
3510-LADIES FOOTWEAR,3510_3547-EC CASUAL SANDALS,CLARKS,"[""bls""]",64,1904,0,0,29.99,0,44
3540-ATHLETIC FOOTWEAR,3540_3581-BFL MENS ATHLETIC,SKECHERS,"[""bls""]",91,1832,0,0,52.75,0,77
3130-JUNIORS,3130_3240-EC JR SHORTS,UNIONBAY,"[""bls""]",35,1800,0,0,19.17,0,35
3115-MISSES BETTER SPORTSWEAR,3115_3293-WC BETTER BOTTOMS,BAYEAS,"[""bls""]",35,1738,0,0,19.39,0,0
3325-MENS OUTDOOR,3325_3699-MENS BETTER FISHING TOPS,SALT LIFE,"[""bls""]",94,1693,0,0,20.2,0,77
3115-MISSES BETTER SPORTSWEAR,3115_3285-EC BTR SS-SL KNITS,BLUE SOL,"[""bls""]",127,1651,0,0,11.26,0,0
3325-MENS OUTDOOR,3325_3764-MENS OUTDOOR TEES,GUY HARVEY,"[""bls""]",82,1634,0,0,13.33,0,66
3110-MISSES SPORTSWEAR,3110_3102-EC CASUAL SS-SL TOPS,CORAL BAY,"[""bls""]",143,1626,0,0,12.99,0,100
3140-LADIES SPORTS,3140_3141-OUTDOOR FISHING TOPS,REEL LEGENDS,"[""bls""]",234,1538,0,0,19.47,0,120
3120-PLUS SPORTSWEAR,3120_3152-EC MP KNIT TOPS,CORAL BAY,"[""bls""]",156,1505,0,0,13.99,0,127
3115-MISSES BETTER SPORTSWEAR,3115_3292-EC BETTER BOTTOMS,SUPPLIES BY UNIONBAY,"[""bls""]",41,1467,0,0,27.02,0,0
3315-YOUNGMENS,3315_3520-YM SHORTS,HURLEY,"[""bls""]",55,1460,0,0,16.8,0,43
3325-MENS OUTDOOR,3325_3775-MENS OUTDOOR BOTTOMS,REEL LEGENDS,"[""bls""]",48,1361,0,0,,0,43
3125-PETITES SPORTSWEAR,3125_3183-EC PT KNIT TOPS,CORAL BAY,"[""bls""]",164,1315,0,0,17.25,0,141
