wave_rank,source_dc,dest_dc,l2_name,article,brand,l1_name,source_oh,max_transferable,lw_units,lw_revenue,score,est_rev_recovery
1,3110_3103-WC CAS SS-SL KNITS,215,214,108065079-600,SABLE SKY,3110-MISSES SPORTSWEAR,12,6.0,509,4863,610.8,2432.0
1,3110_3103-WC CAS SS-SL KNITS,215,214,108034057-110,GOOD DAYS ONLY,3110-MISSES SPORTSWEAR,12,6.0,499,4787,598.8,2394.0
1,3110_3103-WC CAS SS-SL KNITS,215,214,108063827-600,TRU SELF,3110-MISSES SPORTSWEAR,12,6.0,498,4736,597.6,2368.0
1,3110_3103-WC CAS SS-SL KNITS,215,214,108065077-600,SABLE SKY,3110-MISSES SPORTSWEAR,12,6.0,496,4685,595.2,2343.0
1,3110_3103-WC CAS SS-SL KNITS,215,214,108065078-600,SABLE SKY,3110-MISSES SPORTSWEAR,12,6.0,492,4216,590.4,2108.0
2,3510_3539-EC HEELS-WEDGES,215,214,108138353-274,BZEES,3510-LADIES FOOTWEAR,139,69.5,73,1775,1014.7,888.0
2,3510_3539-EC HEELS-WEDGES,215,214,108162357-400,LIFESTRIDE,3510-LADIES FOOTWEAR,167,83.5,44,836,734.8,418.0
2,3510_3539-EC HEELS-WEDGES,215,214,108162776-1,CLARKS,3510-LADIES FOOTWEAR,71,35.5,94,3012,667.4,1506.0
2,3510_3539-EC HEELS-WEDGES,215,214,108192056-250,CLARKS,3510-LADIES FOOTWEAR,66,33.0,84,2685,554.4,1343.0
2,3510_3539-EC HEELS-WEDGES,215,214,108192034-1,CLARKS,3510-LADIES FOOTWEAR,44,22.0,96,3062,422.4,1531.0
3,3310_3459-MENS BETTER BOTTOMS,215,214,108150708-250,HAGGAR,3310-MENS SPORTSWEAR,42,21.0,212,2654,890.4,1327.0
3,3310_3459-MENS BETTER BOTTOMS,215,214,108158901-1,HAGGAR,3310-MENS SPORTSWEAR,84,42.0,105,1718,882.0,859.0
3,3310_3459-MENS BETTER BOTTOMS,215,214,108150708-9,HAGGAR,3310-MENS SPORTSWEAR,42,21.0,194,2442,814.8,1221.0
3,3310_3459-MENS BETTER BOTTOMS,215,214,108150708-420,HAGGAR,3310-MENS SPORTSWEAR,36,18.0,182,2291,655.2,1146.0
3,3310_3459-MENS BETTER BOTTOMS,215,214,108158900-1,HAGGAR,3310-MENS SPORTSWEAR,64,32.0,102,1671,652.8,836.0
4,3200_3029-SKIN CARE,215,214,108112264-0,DR LIFT,3200-BEAUTY,10,5.0,384,1823,384.0,912.0
4,3200_3029-SKIN CARE,215,214,108112270-0,DERMATOUCH,3200-BEAUTY,10,5.0,379,2150,379.0,1075.0
4,3200_3029-SKIN CARE,215,214,108112269-0,DERMATOUCH,3200-BEAUTY,10,5.0,371,2122,371.0,1061.0
4,3200_3029-SKIN CARE,215,214,108134422-0,L__ia_char_01OREAL,3200-BEAUTY,20,10.0,180,1908,360.0,954.0
4,3200_3029-SKIN CARE,215,214,108101037-0,AZTEC SECRET,3200-BEAUTY,11,5.5,326,2167,358.6,1084.0
